GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.runtimeapi,UnknownPlatformException,4,0,0,0,2,0,1,0,1,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.runtimeapi,NativeClient,160,0,12,0,31,0,9,0,3,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.runtimeapi,LambdaRuntimeClient,192,0,12,0,46,0,18,0,12,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.runtimeapi,LambdaRuntimeClientException,15,0,0,0,2,0,1,0,1,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.runtimeapi,InvocationRequest,27,0,0,0,8,0,8,0,8,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.api,LambdaClientContextClient,18,0,0,0,6,0,6,0,6,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.api,LambdaCognitoIdentity,6,9,0,0,2,4,2,1,2,1
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.api,LambdaContext,30,50,0,2,10,16,10,3,10,2
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.api,LambdaClientContext,9,3,0,0,3,1,3,1,3,1
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.logging,LambdaContextLogger,32,0,4,0,12,0,6,0,4,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.logging,FrameType,0,21,0,0,0,6,0,3,0,3
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.logging,StdOutLogSink,3,9,0,0,2,5,0,3,0,3
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.logging,FramedTelemetryLogSink,3,59,0,0,2,18,0,5,0,5
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.util,EnvReader,15,3,2,0,4,1,4,1,3,1
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.util,EnvWriter,131,17,12,0,34,5,19,1,13,1
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.util,LambdaOutputStream,30,0,0,0,9,0,4,0,4,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client.util,UnsafeUtil,46,0,0,0,14,0,3,0,3,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,EventHandlerLoader.new LambdaRequestHandler() {...},115,0,12,0,26,0,9,0,3,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,EventHandlerLoader.new Comparator() {...},44,0,12,0,14,0,8,0,2,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,Failure,86,71,10,0,18,9,9,4,4,4
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,EventHandlerLoader.PojoMethodRequestHandler,118,0,12,0,29,0,10,0,4,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,UserMethods,9,0,0,0,4,0,1,0,1,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,Failure.ClassHierarchyComparator,0,8,0,2,0,3,0,2,0,1
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,AWSLambda,517,0,30,0,140,0,31,0,16,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,XRayErrorCause,2,67,1,5,0,18,1,7,0,5
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,LambdaRequestHandler,14,0,0,0,2,0,2,0,2,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,XRayErrorCause.XRayException,0,43,0,0,0,12,0,5,0,5
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,LambdaRequestHandler.UserFaultHandler,9,0,0,0,4,0,2,0,2,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,EventHandlerLoader.Platform,21,0,0,0,4,0,1,0,1,0
AWS Lambda Java Runtime Interface Client,com.amazonaws.services.lambda.runtime.api.client,CustomerClassLoader,124,0,8,0,20,0,9,0,5,0
